wavelength_nm,intensity_arb
200.0,0.056840060699305237
211.55778894472363,0.08451705792403932
223.11557788944725,0.11891519673713198
234.67336683417085,0.15972867803074373
246.23115577889448,0.2062905785550812
257.7889447236181,0.2576596910662706
269.3467336683417,0.31271753336608793
280.9045226130653,0.3702614140983373
292.46231155778895,0.42908469415948863
304.0201005025126,0.488039966359091
315.5778894472362,0.5460842829647438
327.1356783919598,0.6023077572953122
338.6934673366834,0.6559480506842025
350.25125628140705,0.7063937018497781
361.80904522613065,0.7531792198776686
373.3668341708543,0.7959745518658029
384.9246231155779,0.834571100826979
396.4824120603015,0.868866006039637
408.04020100502515,0.8988459638853117
419.59798994974875,0.9245714910700725
431.1557788944724,0.9461622241729577
442.713567839196,0.9637836087412351
454.2713567839196,0.9776351507799443
465.82914572864325,0.9879402740565552
477.38693467336685,0.994937738292805
488.94472361809045,0.998874516854472
500.5025125628141,1.0
512.0603015075377,0.9985613745194286
523.6180904522613,0.9948000274391309
535.175879396985,0.9889488263386332
546.7336683417086,0.9812301386903131
558.2914572864322,0.9718544652814008
569.8492462311558,0.9610195766494821
581.4070351758794,0.9489100554939661
592.964824120603,0.9356971615255357
604.5226130653266,0.921538947764458
616.0804020100503,0.9065805686720565
627.6381909547739,0.8909547306072197
639.1959798994975,0.8747822439412033
650.7537688442212,0.8581726437958498
662.3115577889448,0.8412248528832191
673.8693467336684,0.8240278654262261
685.427135678392,0.8066614357440758
696.9849246231156,0.7891967589056281
708.5427135678392,0.7716971339949378
720.1005025125628,0.7542186030943765
731.6582914572865,0.7368105611602871
743.2160804020101,0.7195163336224261
754.7738693467337,0.7023737198498929
766.3316582914573,0.6854155016519727
777.8894472361809,0.6686699167729215
789.4472361809046,0.6521610979381915
801.0050251256282,0.6359094784521347
812.5628140703518,0.6199321656641942
824.1206030150754,0.6042432838372207
835.678391959799,0.5888542880887699
847.2361809045226,0.5737742511512244
858.7939698492463,0.5590101247234438
870.3517587939699,0.5445669771768039
881.9095477386935,0.5304482093412604
893.4673366834171,0.5166557500398755
905.0251256281407,0.503190232969034
916.5829145728644,0.49005115644108543
928.140703517588,0.4772370274200428
